   8.26698820334074D-005  -5.46986318473484D-006   5.94965634346142D-005
  -1.10076009434021D-005  -5.75048718532862D-006   5.74994024502453D-006
   1.78506935927118D-006  -2.40677412003469D-006  -1.38513209122323D-006
  -1.33581115495368D-007  -7.58579668623469D-009  -1.73800453537518D-009
  -3.02381800276162D-009  -7.21047445746571D-009  -3.92259073275152D-010
  -4.16879673796892D-009  -3.29083173926104D-009   2.88537255009037D-009
  -4.47550080805276D-008  -5.78177122641661D-010  -5.35142525086474D-009
   1.02942385189608D-010  -8.49040607452073D-009  -2.52840670456370D-009
  -6.13405545173217D-009  -3.43800069555589D-009  -3.59984191898440D-009
  -2.91234929817703D-007  -1.62905002759586D-007  -3.68431020234090D-009
   7.77164290527916D-010   1.59932283427177D-009  -2.28491296590504D-009
   7.03033944342130D-010  -2.89289190860300D-011   4.86451562749639D-010
  -3.17117027043262D-007  -1.26321744097649D-007   6.51758518535435D-009
   2.62070675646012D-009   2.59238370832140D-009  -7.26318061740534D-010
  -1.18191642174809D-009   5.90816038543625D-010   1.23053999757825D-009
  -2.34691437046728D-004   2.59036121717763D-005  -1.73835841495123D-004
   3.80673357683932D-005  -1.03485888270120D-007   1.17376776995138D-005
   3.19509608989603D-006  -4.83167496026174D-006   4.47094431509368D-007
  -1.00355398526925D-006  -5.80438343691240D-008   3.80875695145265D-008
  -2.10657418625019D-007   3.12238251072476D-007  -1.72444072203130D-007
   2.35985832098386D-007   6.13727340553035D-008  -1.58131098756712D-007
  -2.61024960215820D-007  -1.82656275716032D-007   2.78016374834476D-008
  -1.58858363289506D-007   2.31850746815330D-008  -1.10691155968765D-007
  -3.69048459423356D-008   6.78631069587260D-009   1.90777145516695D-008
  -2.74704767394256D-006  -1.54365304913777D-006  -3.49546762061882D-008
   2.86789414864130D-009   1.75452766852069D-008  -1.97744662243578D-008
   3.43169676541053D-009  -1.30924950693160D-010   1.35338072425105D-008
  -2.98415696654187D-006  -1.19708851225481D-006   5.67146658521585D-008
   2.68814727457189D-008   2.61897719058852D-008  -5.11649608698392D-009
  -1.27841777400320D-008   1.19534263567129D-008   1.15749543781328D-008
  -4.02499890223698D-004   4.22870514937427D-005  -2.88258753042082D-004
   6.23338370193608D-005   1.78692873660163D-006   1.44147643545141D-005
   6.58944353306297D-006  -6.19139500170464D-006   7.82954615405540D-007
  -1.11797459279082D-007  -2.78967292638245D-007  -7.04645336679784D-008
  -2.38693040681653D-007   1.22869992713930D-008  -1.53370399783488D-007
   4.47318789843126D-008  -1.65802124252890D-008  -8.28946056921499D-008
  -1.07044201697345D-007  -2.23668695371038D-007  -2.18527598721759D-007
  -2.00040954734845D-007  -3.19586844323525D-007  -2.22086683443490D-007
  -2.98609138042077D-007  -1.29217448782639D-007  -1.50654590880644D-007
  -1.41968295962213D-005  -7.93995493982020D-006  -2.08882224662785D-007
   2.09762683478441D-008   8.35070484335148D-008  -1.07729670354460D-007
   3.06301230195125D-008   1.12449433356374D-008   7.08786417409988D-009
  -1.53976109321613D-005  -6.12022141299496D-006   3.15217558237908D-007
   1.48179418616661D-007   1.41150094231365D-007  -2.24063936978287D-008
  -3.33311708439601D-008   1.07863442857316D-008   6.62499119729457D-008
   3.06204347064615D-004  -1.68321429486551D-004   2.02182016979082D-004
  -1.37641833741129D-004  -5.30404402536766D-005  -1.10474926063654D-005
  -1.05634674903822D-005   3.11526543050599D-005   4.66495863544146D-006
  -1.81310025984216D-007  -1.26014618556329D-006  -3.82306332383069D-007
  -6.67102945644653D-007  -5.05214970641581D-008   1.53918794369926D-007
   9.28279781805284D-008   3.66048038576706D-007   5.68038769950531D-008
  -1.40782617429892D-006  -1.35394137498700D-006  -3.20084097458594D-007
  -6.20618627039507D-007  -6.11742588608485D-007  -2.76537195728238D-007
  -1.33810977431205D-007   2.89677483700145D-007   4.70713328715423D-008
  -6.40936655172450D-005  -3.57948862513955D-005  -8.87261624128964D-007
   1.64506004407617D-007   4.77415826267116D-007  -3.59030239515192D-007
   1.17406290303369D-007   8.95051737231057D-008   9.71875658565188D-009
  -6.96069435911693D-005  -2.76636397672750D-005   1.38328020437413D-006
   6.51631405812798D-007   6.20307849865976D-007  -2.66081185506962D-007
  -2.09003718083271D-007  -1.46372661194868D-007  -1.22390974721364D-007
